Series,Date,Value,Sector Code,Sector Description
abs,2018-01-01,10837.0,p1.1.4,Vegetables
abs,2018-01-01,4613.0,p1.1.5,Fruits
abs,2018-01-01,6395.0,p1.1.6,Food crops
abs,2018-01-01,1142.0,p1.1.7,Other crops
abs,2018-01-01,14584.0,p1.2,Livestock
abs,2018-01-01,8669.0,p1.2.1,Poultry
abs,2018-01-01,1037.0,p1.2.2 ,Cattle
abs,2018-01-01,4878.0,p1.2.3,Other livestocks
abs,2018-01-01,6986.0,p1.3,Forestry and logging
abs,2018-01-01,12225.0,p1.4,Fishing
abs,2018-01-01,8081.0,p1.4.1,Marine fishing
abs,2018-01-01,4144.0,p1.4.2,Aquaculture
abs,2018-01-01,103557.0,p2,Mining and quarrying
abs,2018-01-01,45430.0,p2.1,Crude oil and condensate
abs,2018-01-01,49322.0,p2.2,Natural gas 
abs,2018-01-01,8806.0,p2.3,Other mining & quarrying and supporting services
abs,2018-01-01,304843.0,p3,Manufacturing
abs,2018-01-01,38287.0,p3.1,"Vegetable and animal oils & fats, food processing, beverages and tobacco products"
abs,2018-01-01,13319.0,p3.1.1,Vegetable and animal oils & fats
abs,2018-01-01,16149.0,p3.1.2,Food processing
abs,2018-01-01,5133.0,p3.1.3,Beverages
abs,2018-01-01,3686.0,p3.1.4,Tobacco products
abs,2018-01-01,5926.0,p3.2,"Textiles, wearing apparel and leather products"
abs,2018-01-01,5178.0,p3.2.1,Textile and wearing apparel
abs,2018-01-01,748.0,p3.2.2,Leather and related products
abs,2018-01-01,15809.0,p3.3,"Wood products, furniture, paper products and printing"
abs,2018-01-01,7323.0,p3.3.1,Wood products 
abs,2018-01-01,4473.0,p3.3.2,Paper and paper products
abs,2018-01-01,4013.0,p3.3.3,Printing and reproduction of recorded media 
abs,2018-01-01,88418.0,p3.4,"Petroleum, chemical, rubber and plastic products"
abs,2018-01-01,37962.0,p3.4.1,Refined petroleum products
abs,2018-01-01,33071.0,p3.4.2,Chemicals & chemical products and pharmaceutical products 
abs,2018-01-01,7419.0,p3.4.3,Rubber products
abs,2018-01-01,9966.0,p3.4.4,Plastics products
abs,2018-01-01,36224.0,p3.5,"Non-metallic mineral products, basic metal and fabricated metal products"
abs,2018-01-01,11887.0,p3.5.1,Non-metallic mineral products
abs,2018-01-01,8176.0,p3.5.2,Basic metals
abs,2018-01-01,16161.0,p3.5.3,Fabricated metal products
abs,2018-01-01,86317.0,p3.6,"Electrical, electronic and optical products"
abs,2018-01-01,9690.0,p3.6.1,Machinery and equipment
abs,2018-01-01,5456.0,p3.6.2,Computers and peripheral equipment
abs,2018-01-01,6115.0,p3.6.3,Electrical equipment
abs,2018-01-01,59699.0,p3.6.4,"Electronic components & boards, communication equipment and consumer electronics"
abs,2018-01-01,5357.0,p3.6.5,"Manufacture of medical, precision & optical instrument, watches and clocks"
abs,2018-01-01,33859.0,p3.7,"Transport equipment, other manufacturing and repair"
abs,2018-01-01,24582.0,p3.7.1,Motor vehicles and transport equipment
abs,2018-01-01,4761.0,p3.7.2,Furniture
abs,2018-01-01,4516.0,p3.7.3,Other manufacturing and repair & installation of machinery and equipment
abs,2018-01-01,66194.0,p4,Construction
abs,2018-01-01,31160.0,p4.1,Buildings
abs,2018-01-01,15812.0,p4.1.1,Residential buildings
abs,2018-01-01,15348.0,p4.1.2,Non-residential buildings
abs,2018-01-01,23354.0,p4.2,Civil engineering
abs,2018-01-01,11681.0,p4.3,Specialised construction activities
abs,2018-01-01,772990.0,p5,Services
abs,2018-01-01,165427.0,p5.1,"Utilities, transportation & storage and information & communication"
abs,2018-01-01,28932.0,p5.1.1,Electricity and gas
abs,2018-01-01,7177.0,p5.1.2,"Water, sewerage and waste management"
abs,2018-01-01,50208.0,p5.1.3,Transportation and storage
abs,2018-01-01,12518.0,p5.1.3.1,Land transport
abs,2018-01-01,6464.0,p5.1.3.2,Water transport
abs,2018-01-01,6210.0,p5.1.3.3,Air transport
abs,2018-01-01,7308.0,p5.1.3.4,Port and airport operation
abs,2018-01-01,7719.0,p5.1.3.5,Highway operation
abs,2018-01-01,7787.0,p5.1.3.6,Support activities for transportation
abs,2018-01-01,2203.0,p5.1.3.7,Postal and courier 
abs,2018-01-01,79110.0,p5.1.4,Information and communication
abs,2018-01-01,7785.0,p5.1.4.1,Publishing and broadcasting activities 
abs,2018-01-01,53346.0,p5.1.4.2,Telecommunications
abs,2018-01-01,17979.0,p5.1.4.3,Computer and information service activities
abs,2018-01-01,272668.0,p5.2,"Wholesale and retail trade, food & beverage and accommodation"
abs,2018-01-01,227166.0,p5.2.1,Wholesale and retail trade 
abs,2018-01-01,101927.0,p5.2.1.1,Wholesale trade
abs,2018-01-01,101471.0,p5.2.1.2,Retail trade
abs,2018-01-01,23769.0,p5.2.1.3,Motor vehicles
abs,2018-01-01,36263.0,p5.2.2,Food and beverage
abs,2018-01-01,9239.0,p5.2.3,Accommodation
abs,2018-01-01,152834.0,p5.3,"Finance and insurance, real estate and business services"
abs,2018-01-01,66485.0,p5.3.1,Finance
abs,2018-01-01,56116.0,p5.3.1.1,Monetary intermediation
abs,2018-01-01,10369.0,p5.3.1.2,Other financial intermediation and activities auxiliary to finance
abs,2018-01-01,22604.0,p5.3.2,Insurance
abs,2018-01-01,21974.0,p5.3.2.1,Insurance and pension funding
abs,2018-01-01,629.0,p5.3.2.2,Activities auxiliary to insurance
abs,2018-01-01,20381.0,p5.3.3,Real estate
abs,2018-01-01,43364.0,p5.3.4,Business services
abs,2018-01-01,29800.0,p5.3.4.1,"Professional, scientific and technical "
abs,2018-01-01,13564.0,p5.3.4.2,Administrative and support services
abs,2018-01-01,67170.0,p5.4,Other services
abs,2018-01-01,9504.0,p5.4.1,Private health services
abs,2018-01-01,11156.0,p5.4.2,Private education services
abs,2018-01-01,30131.0,p5.4.3,Owner-occupied dwellings
abs,2018-01-01,354.0,p5.4.4,Non-profit institutions serving households
abs,2018-01-01,1227.0,p5.4.5,Domestic services of households
abs,2018-01-01,14798.0,p5.4.6,Other services not elsewhere classified
abs,2018-01-01,114891.0,p5.5,Government services
abs,2018-01-01,14724.0,p5.5.01,General public services
abs,2018-01-01,7910.0,p5.5.02,Defence
abs,2018-01-01,10438.0,p5.5.03,Public order and safety
abs,2018-01-01,14401.0,p5.5.04,Economic affairs
abs,2018-01-01,322.0,p5.5.05,Environmental protection
abs,2018-01-01,2410.0,p5.5.06,Housing and community amenities
abs,2018-01-01,16577.0,p5.5.07,Health
